Title,Release Year,Genre,IMDb Rating,Duration,Age Rating,Production Country,Streaming Services,URL
Dept. Q,2025,"Crime, Detective Crime, Drama, Mystery & Thriller",8.2,54min,A,"United Kingdom, United States","Crunchyroll, Netflix",https://www.justwatch.com/in/tv-show/department-q
Sakamoto Days,2025,"Action & Adventure, Animation, Classic Japanese Anime, Comedy, Crime, Mystery & Thriller",7.4,24min,UA16+,Japan,"Crunchyroll, Netflix",https://www.justwatch.com/in/tv-show/sakamoto-days
Rana Naidu,2023,"Action & Adventure, Bollywood, Crime, Drama",7.1,46min,A,India,"Crunchyroll, Netflix",https://www.justwatch.com/in/tv-show/rana-naidu
GOOD BOY,2025,"Action & Adventure, Action Comedy, Comedy, Crime, Drama, Romance",7.6,1h 8min,,South Korea,"Amazon Prime Video, Amazon Prime Video with Ads, Crunchyroll",https://www.justwatch.com/in/tv-show/good-boy
MobLand,2025,"Crime, Drama, Psychological Drama",8.4,47min,UA16+,"United Kingdom, United States","Crunchyroll, JioHotstar",https://www.justwatch.com/in/tv-show/mobland
Chief of War,2025,"Drama, History, Period Drama",7.9,49min,A,United States,"Amazon Prime Video, Apple TV Plus Amazon Channel, Apple TV+",https://www.justwatch.com/in/tv-show/chief-of-war
The Last of Us,2023,"Action & Adventure, Drama, Horror, Mystery & Thriller, Science-Fiction, Video Game",8.5,57min,A,United States,"Crunchyroll, JioHotstar",https://www.justwatch.com/in/tv-show/the-last-of-us
Criminal Justice: A Family Matter,2025,"Courtroom, Crime, Drama",7.6,43min,,India,Crunchyroll,https://www.justwatch.com/in/tv-show/criminal-justice-a-family-matter
The Summer Hikaru Died,2025,"Animation, Classic Japanese Anime, Drama, Horror, Mystery & Thriller, Romance",8.1,23min,UA13+,Japan,"Crunchyroll, Netflix",https://www.justwatch.com/in/tv-show/the-summer-hikaru-died
The Hunt: The Rajiv Gandhi Assassination Case,2025,"Crime, Mystery & Thriller",8.1,49min,,India,"Crunchyroll, Sony Liv",https://www.justwatch.com/in/tv-show/the-hunt-the-rajiv-gandhi-assassination-case
Dan Da Dan,2024,"Action & Adventure, Animation, Classic Japanese Anime, Comedy, Fantasy, Mystery & Thriller, Romance, Science-Fiction",8.3,24min,UA16+,Japan,"Amazon Prime Video, Anime Times Amazon Channel, Crunchyroll, Crunchyroll Amazon Channel, Netflix",https://www.justwatch.com/in/tv-show/dan-da-dan
Dexter: Resurrection,2025,"Crime, Dark Crime, Drama, Mystery & Thriller",9.2,53min,A,United States,"Amazon Prime Video, Amazon Prime Video with Ads, Crunchyroll",https://www.justwatch.com/in/tv-show/dexter-resurrection
UNTAMED,2025,"Crime, Drama, Mystery Thriller",7.2,48min,,United States,"Crunchyroll, Netflix",https://www.justwatch.com/in/tv-show/untamed
Head Over Heels,2025,"Drama, Fantasy, Romance, Romantic Drama, Science-Fiction",7.8,1h 4min,,South Korea,"Amazon Prime Video, Amazon Prime Video with Ads, Crunchyroll",https://www.justwatch.com/in/tv-show/head-over-heels
Chespirito: Not Really on Purpose,2025,"Biopics, Comedy, Drama",7.5,45min,,Mexico,Crunchyroll,https://www.justwatch.com/in/tv-show/chespirito-not-really-on-purpose
Ballard,2025,"Crime, Detective Crime, Drama",7.6,46min,,United States,"Amazon Prime Video, Amazon Prime Video with Ads, Crunchyroll",https://www.justwatch.com/in/tv-show/ballard
Takopi's Original Sin,2025,"Animation, Classic Japanese Anime, Drama, Science-Fiction",9.1,26min,,Japan,"Amazon Prime Video, Anime Times Amazon Channel, Crunchyroll, Crunchyroll Amazon Channel",https://www.justwatch.com/in/tv-show/takopiis-original-sin
The Day of the Jackal,2024,"Action Adventure, Crime, Drama, Mystery & Thriller",8.1,51min,,"United Kingdom, United States","Crunchyroll, JioHotstar",https://www.justwatch.com/in/tv-show/the-day-of-the-jackal
Lord of Mysteries,2025,"Action & Adventure, Animation, Drama, Fantasy, Mystery Thriller, Science-Fiction",8.7,35min,,China,"Crunchyroll, Crunchyroll Amazon Channel",https://www.justwatch.com/in/tv-show/lord-of-the-mysteries
Solo Leveling,2024,"Action & Adventure, Animation, Classic Japanese Anime, Fantasy, Science-Fiction",8.6,24min,,"South Korea, Japan","Crunchyroll, Crunchyroll Amazon Channel",https://www.justwatch.com/in/tv-show/solo-leveling-2024
Adolescence,2025,"Crime, Dark Crime, Drama, Mystery & Thriller",8.2,57min,UA,United Kingdom,"Crunchyroll, Netflix",https://www.justwatch.com/in/tv-show/adolescence-2025
Gutar Gu,2023,"Bollywood, Comedy, Drama, Romance, Romantic Drama",8.3,26min,UA16+,India,"Amazon MX Player, Crunchyroll, MX Player",https://www.justwatch.com/in/tv-show/gutar-gu
Farzi,2023,"Bollywood, Crime, Drama, Mystery & Thriller",8.3,56min,UA16+,India,"Amazon Prime Video, Amazon Prime Video with Ads, Crunchyroll",https://www.justwatch.com/in/tv-show/farzi
Laughter Chefs Unlimited Entertainment,2024,"Bollywood, Comedy, Kids & Family, Reality TV",8.7,1h 12min,,India,"Crunchyroll, JioHotstar",https://www.justwatch.com/in/tv-show/laughter-chefs-unlimited-entertainment
Chuhai Lips,2025,"Animation, Classic Japanese Anime, Comedy, Romance",7.8,5min,,Japan,"Amazon Prime Video, Anime Times Amazon Channel, Crunchyroll",https://www.justwatch.com/in/tv-show/chuhai-lips
